ruta,tamano_bytes,motivo
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.7.3_3.0.7.4.md",534,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.7.5_3.0.7.6.md",515,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.7.7_3.0.7.8.md",603,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.8.1_3.0.8.2.md",459,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.8.3_3.0.8.4.md",530,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.8.5_3.0.8.6.md",807,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0.8.7_3.0.8.8.md",595,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0_STABLE_CANDIDATE.md",331,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.0_STABLE_S002.md",647,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/CHANGELOG_HOST_AI_3.5.1.md",721,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/demo_host_ai_3.py",1179,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/HOST_AI_3_0_STABLE_CANDIDATE.md",628,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/HOST_AI_3_0_STABLE_S002.md",1223,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/main.py",293,"copia_anidada_del_proyecto"
"Proyecto Host IA 3.0/VERSION.txt",77,"copia_anidada_del_proyecto"
"__pycache__/demo_host_ai_3.cpython-313.pyc",2143,"cache_python"
"__pycache__/main.cpython-313.pyc",746,"cache_python"
"TESTS/__pycache__/test_4101_auditoria_modulos.cpython-313.pyc",1043,"cache_python"
"TESTS/__pycache__/test_4102_auditoria_tests.cpython-313.pyc",926,"cache_python"
"TESTS/__pycache__/test_4103_auditoria_dependencias.cpython-313.pyc",1139,"cache_python"
"TESTS/__pycache__/test_4104_informe_final_host_ai.cpython-313.pyc",1096,"cache_python"
"TESTS/__pycache__/test_4105_clasificador_tests_historicos.cpython-313.pyc",1828,"cache_python"
